,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
E[231],-0.5098,0.5743,-1.5598,0.5947,0.0045,0.0044,16283.2008,12103.7087,1.0
E[232],-0.5138,0.5648,-1.5486,0.577,0.0044,0.0042,16726.7866,11817.986,1.0005
E[233],-0.5127,0.5607,-1.4969,0.6117,0.0042,0.0043,17440.6666,12323.7322,1.0002
E[234],-0.512,0.5626,-1.5297,0.5785,0.0043,0.0045,17363.9497,11708.2007,1.0003
E[235],-0.5128,0.5574,-1.5107,0.5796,0.0043,0.0042,16467.1213,12263.3216,1.0004
E[236],-0.5164,0.557,-1.5387,0.5523,0.0043,0.0042,16613.6792,12346.0456,1.0002
E[237],-0.514,0.5655,-1.5972,0.5293,0.0047,0.0045,14247.3927,11709.488,1.0003
E[238],-0.5111,0.5723,-1.5532,0.5646,0.0044,0.0046,16815.3428,11918.2046,0.9999
E[239],-0.523,0.5674,-1.5814,0.5447,0.0045,0.0046,15579.0891,11530.094,1.0003
E[240],-0.5124,0.5725,-1.5663,0.5625,0.0046,0.0043,15490.6555,12466.7933,1.0002
E[241],-0.5162,0.5615,-1.5667,0.5377,0.0041,0.0045,18429.5825,12126.5071,1.0004
E[242],-0.5114,0.5623,-1.588,0.5305,0.0044,0.0043,16521.1363,11914.5176,1.0002
E[243],-0.5099,0.5651,-1.5824,0.5305,0.0045,0.0044,15631.7481,12543.3528,1.0004
E[244],-0.5112,0.5686,-1.5603,0.5722,0.0046,0.0043,15261.2165,12432.2728,1.0003
E[245],-0.5135,0.5637,-1.5481,0.5811,0.0044,0.0042,16690.533,12575.6936,1.0001
E[246],-0.5157,0.5659,-1.5486,0.5827,0.0045,0.0045,15726.5025,11725.3307,1.0
E[247],-0.516,0.5648,-1.6155,0.5073,0.0043,0.0046,17487.6188,11992.036,1.0003
E[248],-0.5128,0.5586,-1.5279,0.5709,0.0042,0.0043,17962.2633,12828.7599,1.0
E[249],-0.5144,0.5649,-1.5994,0.5185,0.0043,0.0045,16889.4389,11711.2195,1.0001
E[250],-0.5187,0.5648,-1.5596,0.5691,0.0045,0.0044,15971.5425,12305.2603,1.0003
E[251],-0.5149,0.565,-1.5822,0.5195,0.0041,0.0041,18540.5568,13200.7622,1.0011
E[252],-0.5135,0.5632,-1.5681,0.5556,0.0045,0.0045,15621.9737,11121.8488,1.0005
E[253],-0.519,0.5553,-1.6142,0.4747,0.0043,0.0045,16414.4151,11934.3206,1.0
E[254],-0.5128,0.5675,-1.5709,0.5563,0.0043,0.0045,17722.3689,12077.44,1.0001
E[255],-0.5186,0.563,-1.5666,0.536,0.0042,0.0044,17820.0467,12177.9484,1.0002
E[256],-0.5017,0.5608,-1.5423,0.5513,0.0041,0.0049,18563.0214,11116.9518,1.0004
E[257],-0.5181,0.5732,-1.6405,0.5174,0.0042,0.0048,18800.7307,11884.727,1.0006
E[258],-0.5099,0.5655,-1.5622,0.526,0.0043,0.0049,17034.3646,10935.6851,1.0002
E[259],-0.5153,0.5671,-1.5891,0.5384,0.0044,0.0045,16275.0009,11689.2878,1.0002
E[260],-0.5148,0.5662,-1.5829,0.5257,0.0043,0.0043,17702.2286,12612.5328,0.9999
E[261],-0.5183,0.5639,-1.5726,0.5614,0.0042,0.0044,18431.9889,11774.7729,1.0002
E[262],-0.5106,0.5704,-1.5639,0.5765,0.0043,0.0047,17927.5865,11358.0637,0.9999
E[263],-0.5112,0.5686,-1.5498,0.5784,0.0046,0.0045,15483.6513,11470.4164,1.0005
E[264],-0.5161,0.5667,-1.5678,0.549,0.0038,0.0051,21880.2487,11602.7381,1.0001
E[265],-0.5194,0.5681,-1.5848,0.5532,0.0045,0.0044,15821.702,12437.4333,0.9999
